Capability,Llama Count,Mistral Count,Falcon Count
Keynoting Capability,7861,4974,5385
Reminder Capability,348,561,655
Multimedia Capability,2538,1494,1712
Mapping Capability,3037,2223,4262
Affective Communication Capability,21697,13821,19830
Threat Intelligence Capability,10825,2223,2702
Multiplatform Integration Capability,5735,1756,2705
Peer Sharing Capability,1555,1073,809
Updating Capability,3628,1351,2864
Retrieval Capability,511,322,1274
Rewarding Capability,267,207,1576
Tip-Verification Capability,0,0,0
Privacy Capability,51,486,399
Reporting Capability,3743,3975,2851
Helping Capability,5748,2375,1421
Notification Management Capability,15211,10580,18521
User Profile & Personalization Capability,0,0,0
Engagement Capability,437,7357,3379
Other Capability,3938,270,6969
None,47158,22520,38302
